"P1_x","P1_y"
1e-05,9.144231288e-08,
0.00011,0.0009784220064,
0.00021,0.008954614963,
0.0003,0.02569401155,
0.0004,0.05199492838,
0.0005,0.07955160553,
0.0006,0.1026431596,
0.0007,0.1192964851,
0.0008,0.1305579989,
0.0009,0.1386429778,
0.001,0.1455709553,
0.0011,0.1526753797,
0.0012,0.1606466532,
0.0013,0.1697062436,
0.0014,0.179740501,
0.0015,0.19040347,
0.0016,0.2012322176,
0.0017,0.2117745798,
0.0018,0.2216940866,
0.0019,0.2308209549,
0.002,0.2391450458,
0.0021,0.2467700965,
0.0022,0.2538557188,
0.0023,0.2605674035,
0.0024,0.2670438932,
0.0025,0.2733824528,
0.0026,0.2796379068,
0.0027,0.2858300208,
0.0028,0.291954337,
0.0029,0.2979928402,
0.003,0.3039222909,
0.0031,0.3097194005,
0.0032,0.3153630687,
0.0033,0.3208345078,
0.0034,0.3261162587,
0.0035,0.3311909675,
0.0036,0.3360404948,
0.0037,0.3406456171,
0.0038,0.3449863313,
0.0039,0.3490426199,
0.004,0.352795468,
0.0041,0.3562279265,
0.00421,0.3596170434,
0.00431,0.3623357244,
0.00441,0.3647033314,
0.00451,0.366718421,
0.00461,0.3683836612,
0.00471,0.3697055068,
0.00481,0.3706937517,
0.00491,0.3713610156,
0.00501,0.3717222121,
0.00511,0.3717940284,
0.00521,0.3715944374,
0.00531,0.3711422514,
0.00541,0.3704567206,
0.00551,0.3695571759,
0.00561,0.3684627161,
0.00571,0.3671919369,
0.00581,0.3657627021,
0.00591,0.3641919584,
0.00601,0.3624955922,
0.00611,0.3606883294,
0.00621,0.3587836766,
0.00631,0.356793901,
0.00641,0.3547300449,
0.00651,0.3526019715,
0.00661,0.3504184354,
0.00671,0.3481871727,
0.00681,0.3459150066,
0.00691,0.3436079614,
0.00701,0.3412713819,
0.00711,0.3389100533,
0.00721,0.3365283182,
0.00731,0.3341301888,
0.00741,0.33171945,
0.00751,0.3292997529,
0.00761,0.3268746976,
0.00771,0.3244479023,
0.00781,0.3220230604,
0.00791,0.3196039836,
0.00801,0.3171946324,
0.00811,0.3147991332,
0.00821,0.3124217836,
0.00831,0.3100670467,
0.00841,0.3077395356,
0.00851,0.3054439882,
0.00861,0.3031852367,
0.00871,0.3009681694,
0.00881,0.29879769,
0.00891,0.2966786735,
0.00901,0.2946159208,
0.00911,0.2926141137,
0.00921,0.2906777716,
0.00931,0.2888112096,
0.00941,0.2870185016,
0.00951,0.2853034457,
0.00961,0.2836695358,
0.00971,0.2821199374,
0.00981,0.2806574695,
0.00991,0.2792845908,
0.01001,0.2780033928,
0.01011,0.2768155968,
0.01021,0.2757225562,
0.01031,0.2747252638,
0.01041,0.2738243621,
0.01051,0.2730201578,
0.01061,0.2723126394,
0.01071,0.2717014961,
0.01081,0.2711861396,
0.01091,0.2707657265,
0.01101,0.2704391816,
0.01111,0.2702052208,
0.01121,0.2700623748,
0.01131,0.2700090111,
0.01141,0.2700433555,
0.01151,0.2701635122,
0.01161,0.2703674825,
0.01171,0.2706531818,
0.01181,0.2710184547,
0.01191,0.271461089,
0.01201,0.2719788268,
0.01211,0.272569375,
0.01221,0.2732304138,
0.01231,0.2739596031,
0.01241,0.2747545888,
0.01251,0.2756130066,
0.01261,0.2765324855,
0.01271,0.2775106502,
0.01281,0.2785451232,
0.01291,0.2796335253,
0.01301,0.2807734771,
0.01311,0.2819625994,
0.01321,0.2831985132,
0.01331,0.2844788411,
0.01341,0.2858012068,
0.01351,0.2871632368,
0.01361,0.2885625607,
0.01371,0.2899968125,
0.01381,0.2914636325,
0.01391,0.2929606688,
0.01401,0.2944855791,
0.01411,0.2960360337,
0.01421,0.2976097176,
0.01431,0.2992043333,
0.01441,0.3008176041,
0.01451,0.3024472768,
0.01461,0.304091125,
0.01471,0.3057469522,
0.01481,0.307412595,
0.01491,0.3090859261,
0.01501,0.3107648571,
0.01511,0.3124473417,
0.01521,0.3141313778,
0.01531,0.3158150102,
0.01541,0.3174963326,
0.01551,0.3191734899,
0.01561,0.3208446795,
0.01571,0.3225081527,
0.01581,0.3241622161,
0.01591,0.3258052326,
0.01601,0.3274356217,
0.01611,0.3290518605,
0.01621,0.3306524835,
0.01631,0.3322360831,
0.01641,0.333801309,
0.01651,0.3353468685,
0.01661,0.336871526,
0.01671,0.3383741023,
