EIG10000x,EIG10000y,EIGnovirx,EIGnoviry
-2.28E+08,3.78E+02,-2.33E+03,6.66E+03
-2.28E+08,-3.78E+02,-2.33E+03,-6.66E+03
-1.68E+08,3.78E+02,-2.33E+03,6.65E+03
-1.68E+08,-3.78E+02,-2.33E+03,-6.65E+03
-8.97E+07,3.79E+02,-2.34E+03,6.41E+03
-8.97E+07,-3.79E+02,-2.34E+03,-6.41E+03
-2.97E+07,3.79E+02,-2.29E+03,5.83E+03
-2.97E+07,-3.79E+02,-2.29E+03,-5.83E+03
-4.91E+06,3.78E+02,-2.29E+03,6.07E+03
-4.91E+06,-3.78E+02,-2.29E+03,-6.07E+03
-2.33E+03,6.66E+03,-2.29E+03,6.06E+03
-2.33E+03,-6.66E+03,-2.29E+03,-6.06E+03
-2.33E+03,6.65E+03,-2.33E+03,5.06E+03
-2.33E+03,-6.65E+03,-2.33E+03,-5.06E+03
-2.34E+03,6.41E+03,-2.24E+03,4.58E+03
-2.34E+03,-6.41E+03,-2.24E+03,-4.58E+03
-2.29E+03,5.83E+03,-5.70E+02,1.63E+03
-2.29E+03,-5.83E+03,-5.70E+02,-1.63E+03
-2.29E+03,6.07E+03,-5.48E+02,1.70E+03
-2.29E+03,-6.07E+03,-5.48E+02,-1.70E+03
-2.29E+03,6.06E+03,-5.46E+02,1.71E+03
-2.29E+03,-6.06E+03,-5.46E+02,-1.71E+03
-2.33E+03,5.06E+03,-5.46E+02,1.71E+03
-2.33E+03,-5.06E+03,-5.46E+02,-1.71E+03
-2.24E+03,4.58E+03,-5.91E+02,8.49E+02
-2.24E+03,-4.58E+03,-5.91E+02,-8.49E+02
-5.70E+02,1.63E+03,-5.65E+02,9.10E+02
-5.70E+02,-1.63E+03,-5.65E+02,-9.10E+02
-5.48E+02,1.70E+03,-5.61E+02,9.17E+02
-5.48E+02,-1.70E+03,-5.61E+02,-9.17E+02
-5.46E+02,1.71E+03,-5.61E+02,9.17E+02
-5.46E+02,-1.71E+03,-5.61E+02,-9.17E+02
-5.46E+02,1.71E+03,-4.97E+02,3.83E+02
-5.46E+02,-1.71E+03,-4.97E+02,-3.83E+02
-5.91E+02,8.49E+02,-6.27E+02,3.79E+02
-5.91E+02,-8.49E+02,-6.27E+02,-3.79E+02
-5.65E+02,9.10E+02,-4.18E+01,3.35E+02
-5.65E+02,-9.10E+02,-4.18E+01,-3.35E+02
-5.61E+02,9.18E+02,-1.43E+01,3.26E+02
-5.61E+02,-9.18E+02,-1.43E+01,-3.26E+02
-5.61E+02,9.17E+02,-1.30E+01,3.26E+02
-5.61E+02,-9.17E+02,-1.30E+01,-3.26E+02
-4.97E+02,3.83E+02,-1.07E+03,0.00E+00
-4.97E+02,-3.83E+02,-1.07E+03,0.00E+00
-6.27E+02,3.79E+02,-1.06E+03,0.00E+00
-6.27E+02,-3.79E+02,-1.06E+03,0.00E+00
-4.18E+01,3.35E+02,-1.00E+03,0.00E+00
-4.18E+01,-3.35E+02,-1.00E+03,0.00E+00
-1.43E+01,3.26E+02,-1.00E+03,0.00E+00
-1.43E+01,-3.26E+02,-1.00E+03,0.00E+00
-1.30E+01,3.26E+02,-6.27E-01,1.62E+01
-1.30E+01,-3.26E+02,-6.27E-01,-1.62E+01
-1.07E+03,0.00E+00,-6.26E-01,1.78E+01
-1.07E+03,0.00E+00,-6.26E-01,-1.78E+01
-1.06E+03,0.00E+00,-6.19E-01,1.81E+01
-1.06E+03,0.00E+00,-6.19E-01,-1.81E+01
-1.00E+03,0.00E+00,-1.98E+00,0.00E+00
-1.00E+03,0.00E+00,-9.99E+00,6.80E-01
-1.00E+03,0.00E+00,-9.99E+00,-6.80E-01
-1.00E+03,0.00E+00,-9.95E+00,5.15E-01
-6.27E-01,1.62E+01,-9.95E+00,-5.15E-01
-6.27E-01,-1.62E+01,-9.96E+00,4.98E-01
-6.27E-01,1.78E+01,-9.96E+00,-4.98E-01
-6.27E-01,-1.78E+01,-9.96E+00,4.97E-01
-6.19E-01,1.81E+01,-9.96E+00,-4.97E-01
-6.19E-01,-1.81E+01,-1.00E+00,0.00E+00
-1.98E+00,0.00E+00,-1.00E+00,0.00E+00
-9.99E+00,6.80E-01,-1.00E+00,0.00E+00
-9.99E+00,-6.80E-01,-1.00E+00,0.00E+00
-9.95E+00,5.15E-01,-1.00E+00,0.00E+00
-9.95E+00,-5.15E-01,-1.00E+00,0.00E+00
-9.96E+00,4.98E-01,-1.00E+00,0.00E+00
-9.96E+00,-4.98E-01,-1.00E+00,0.00E+00
-9.96E+00,4.97E-01,,
-9.96E+00,-4.97E-01,,
-1.00E+00,0.00E+00,,
-1.00E+00,0.00E+00,,
-1.00E+00,0.00E+00,,
-1.00E+00,0.00E+00,,
-1.00E+00,0.00E+00,,
-1.00E+00,0.00E+00,,
-1.00E+00,0.00E+00,,
-1.00E+00,0.00E+00,,
