"P1_x","P1_y"
1.00E-06,1.15E-11
0.000101,0.000875432
0.000201,0.009497563
0.0003,0.031342427
0.0004,0.063526988
0.0005,0.097592763
0.0006,0.126833419
0.0007,0.14894715
0.0008,0.165084021
0.0009,0.177686965
0.001,0.188973433
0.0011,0.200417701
0.001201,0.21292907
0.001301,0.226517682
0.001401,0.241170302
0.001501,0.256489174
0.001601,0.271950673
0.001701,0.287053149
0.001801,0.301429623
0.001901,0.314896291
0.002001,0.327439009
0.002101,0.339161959
0.002201,0.350226553
0.002301,0.360800316
0.002401,0.371024107
0.0025,0.380898828
0.0026,0.390681237
0.0027,0.400293634
0.0028,0.409734998
0.0029,0.418990366
0.003,0.428038691
0.0031,0.436857612
0.0032,0.445425488
0.0033,0.45372157
0.0034,0.461725284
0.0035,0.469415436
0.0036,0.476769812
0.0037,0.483765376
0.0038,0.490378981
0.0039,0.496588446
0.004,0.502373755
0.0041,0.507718188
0.0042,0.51260924
0.0043,0.517039241
0.0044,0.521005659
0.0045,0.524511105
0.0046,0.527563106
0.0047,0.530173672
0.0048,0.532358754
0.0049,0.534137628
0.005,0.535532239
0.0051,0.536566554
0.0052,0.53726594
0.0053,0.53765657
0.0054,0.537764888
0.0055,0.537617125
0.0056,0.53723887
0.0057,0.536654712
0.0058,0.535887943
0.0059,0.534960327
0.006,0.533891928
0.0061,0.532701003
0.0062,0.53140395
0.0063,0.530015303
0.0064,0.528547772
0.0065,0.527012324
0.0066,0.525418289
0.0067,0.523773494
0.0068,0.522084408
0.0069,0.520356306
0.007,0.518593432
0.0071,0.516799167
0.0072,0.51497619
0.0073,0.513126632
0.0074,0.511252225
0.0075,0.509354433
0.0076,0.507434568
0.0077,0.505493895
0.0078,0.503533716
0.0079,0.501555442
0.008,0.499560645
0.0081,0.497551095
0.0082,0.495528784
0.0083,0.493495936
0.0084,0.491455002
0.0085,0.489408649
0.0086,0.487359737
0.0087,0.485311289
0.008801,0.48324604
0.008901,0.481208158
0.009001,0.47918047
0.009101,0.477166283
0.009201,0.475168876
0.009301,0.473191462
0.009401,0.471237151
0.009501,0.469308924
0.009601,0.467409602
0.009701,0.465541826
0.009801,0.463708041
0.009901,0.461910484
0.010001,0.460151176
0.010101,0.458431924
0.010201,0.45675432
0.010301,0.455119749
0.010401,0.453529399
0.010501,0.451984273
0.010601,0.450485205
0.010701,0.449032876
0.010801,0.447627831
0.010901,0.446270499
0.011001,0.44496121
0.011101,0.443700211
0.011201,0.442487688
0.011301,0.441323774
0.011401,0.440208569
0.011501,0.439142147
0.011601,0.438124571
0.011701,0.437155898
0.011801,0.436236186
0.011901,0.435365498
0.012001,0.434543906
0.012101,0.433771487
0.012201,0.433048329
0.012301,0.432374523
0.012401,0.431750162
0.012501,0.431175336
0.012601,0.430650129
0.012701,0.430174609
0.012801,0.429748827
0.012901,0.429372808
0.013001,0.429046548
0.013101,0.428770003
0.013201,0.428543091
0.013301,0.428365682
0.013401,0.428237594
0.013501,0.428158594
0.013601,0.42812839
0.013701,0.428146631
0.013801,0.428212904
0.013901,0.428326736
0.014001,0.428487589
0.014101,0.428694867
0.014201,0.428947907
0.014301,0.429245991
0.014401,0.429588339
0.014501,0.429974114
0.014601,0.430402425
0.014701,0.430872327
0.014801,0.431382825
0.014901,0.431932875
0.015001,0.432521389
0.015101,0.433147232
0.015201,0.43380923
0.015301,0.434506168
0.015401,0.435236797
0.015501,0.435999828
0.015601,0.436793942
0.015701,0.437617787
0.015801,0.438469981
0.015901,0.439349112
0.016001,0.440253742
0.016101,0.441182406
0.016201,0.442133615
0.016301,0.443105857
0.016401,0.444097597
0.016501,0.445107278
0.016601,0.446133325
0.016701,0.447174146
0.016801,0.448228129
0.016901,0.449293649
0.017001,0.450369068
0.017101,0.451452735
0.017201,0.452542991
0.017301,0.453638167
0.017401,0.45473659
0.017501,0.455836583
0.017601,0.456936468
0.017701,0.458034567
0.017801,0.459129208
0.017901,0.460218723
0.018001,0.461301454
0.018101,0.462375754
0.018201,0.463439991
0.018301,0.464492548
0.018401,0.465531828
0.018501,0.466556258
0.018601,0.467564288
0.018701,0.468554394
0.018801,0.469525084
0.018901,0.470474898
0.019001,0.47140241
0.019101,0.472306231
0.019201,0.473185013
0.019301,0.474037446
0.019401,0.474862268
0.019501,0.475658258
0.019601,0.476424246
0.019701,0.477159109
0.019801,0.477861776
0.019901,0.478531228
0.020001,0.4791665
0.020101,0.479766681
0.020201,0.480330919
0.020301,0.480858416
0.020401,0.481348437
0.020501,0.481800304
0.0206,0.482209462
0.0207,0.482583626
0.0208,0.482917974
0.0209,0.483212073
0.021,0.483465556
0.0211,0.483678115
0.0212,0.483849509
0.0213,0.48397956
0.0214,0.484068152
0.0215,0.484115236
0.0216,0.484120823
0.0217,0.484084991
0.0218,0.484007879
0.0219,0.48388969
0.022,0.483730688
0.0221,0.483531199
0.0222,0.483291611
0.0223,0.483012372
0.0224,0.48269399
0.0225,0.482337028
0.0226,0.481942112
0.0227,0.481509919
0.0228,0.481041185
0.0229,0.480536697
0.023,0.479997297
0.0231,0.479423876
0.0232,0.478817374
0.0233,0.478178782
0.0234,0.477509134
0.0235,0.476809509
0.0236,0.476081031
0.0237,0.475324862
0.0238,0.474542204
0.0239,0.473734296
0.024,0.472902413
0.0241,0.472047862
0.0242,0.471171979
0.0243,0.470276132
0.0244,0.469361713
0.0245,0.468430141
0.0246,0.467482854
0.0247,0.466521312
0.0248,0.465546993
0.0249,0.464561388
0.025,0.463566003
0.0251,0.462562355
0.0252,0.461551969
0.0253,0.460536375
0.0254,0.459517108
0.0255,0.458495705
0.0256,0.457473703
0.0257,0.456452632
0.0258,0.455434022
0.0259,0.454419392
0.026,0.453410252
0.0261,0.452408101
0.0262,0.451414423
0.0263,0.450430684
0.0264,0.449458335
0.0265,0.448498805
0.0266,0.447553498
0.0267,0.446623796
0.0268,0.445711055
0.0269,0.444816598
0.027,0.443941723
0.0271,0.443087692
0.0272,0.442255733
0.0273,0.441447039
0.0274,0.440662765
0.0275,0.439904026
0.0276,0.439171898
0.0277,0.438467413
0.0278,0.437791558
0.0279,0.437145278
0.028,0.436529467
0.0281,0.435944975
0.0282,0.435392601
0.0283,0.434873093
0.0284,0.434387151
0.0285,0.433935418
0.0286,0.433518488
0.0287,0.433136899
0.0288,0.432791135
0.0289,0.432481623
0.029,0.432208737
0.0291,0.431972793
0.0292,0.431774049
0.0293,0.431612707
0.0294,0.431488913
0.0295,0.431402752
0.0296,0.431354256
0.0297,0.431343395
0.0298,0.431370083
0.0299,0.431434178
0.03,0.431535479
0.0301,0.43167373
0.0302,0.431848618
0.0303,0.432059773
0.0304,0.432306773
0.0305,0.432589139
0.0306,0.432906338
0.0307,0.433257787
0.0308,0.433642849
0.0309,0.434060837
0.031,0.434511014
0.0311,0.434992595
0.0312,0.435504747
0.0313,0.436046592
0.0314,0.436617206
0.0315,0.437215625
0.0316,0.437840839
0.0317,0.438491803
0.0318,0.43916743
0.0319,0.439866598
0.032,0.440588151
0.0321,0.4413309
0.0322,0.442093622
0.0323,0.44287507
0.0324,0.443673966
0.0325,0.444489009
0.0326,0.445318874
0.0327,0.446162216
0.0328,0.447017671
0.0329,0.447883859
0.033,0.448759384
0.0331,0.449642839
0.0332,0.450532809
0.0333,0.451427868
0.0334,0.452326587
0.0335,0.453227533
0.0336,0.454129272
0.0337,0.455030372
0.0338,0.455929406
0.0339,0.456824949
0.034,0.457715589
0.0341,0.458599921
0.0342,0.459476554
0.0343,0.460344112
0.0344,0.461201236
0.0345,0.462046586
0.0346,0.462878842
0.0347,0.463696709
0.0348,0.464498917
0.0349,0.465284222
0.035,0.46605141
0.0351,0.466799299
0.0352,0.467526738
0.0353,0.468232611
0.0354,0.468915839
0.0355,0.46957538
0.0356,0.470210233
0.0357,0.470819435
0.0358,0.471402068
0.0359,0.471957256
0.036,0.47248417
0.0361,0.472982024
0.0362,0.473450082
0.0363,0.473887655
0.0364,0.474294104
0.0365,0.474668838
0.0366,0.475011319
0.0367,0.475321059
0.0368,0.475597625
0.0369,0.475840632
0.037,0.476049753
0.0371,0.476224711
0.0372,0.476365284
0.0373,0.476471303
0.0374,0.476542655
0.0375,0.476579278
0.0376,0.476581167
0.0377,0.476548369
0.0378,0.476480984
0.0379,0.476379166
0.038,0.476243122
0.0381,0.47607311
0.0382,0.47586944
0.0383,0.475632474
0.0384,0.475362622
0.0385,0.475060346
0.0386,0.474726155
0.0387,0.474360606
0.0388,0.473964302
0.0389,0.473537891
0.039,0.473082066
0.0391,0.472597565
0.0392,0.472085163
0.0393,0.471545681
0.0394,0.470979973
0.0395,0.470388937
0.0396,0.469773502
0.0397,0.469134634
0.0398,0.46847333
0.0399,0.467790622
0.04,0.467087567
0.0401,0.466365254
0.0402,0.465624795
0.0403,0.464867329
0.0404,0.464094015
0.0405,0.463306035
0.0406,0.462504589
0.0407,0.461690893
0.0408,0.460866181
0.0409,0.460031698
0.041,0.4591887
0.0411,0.458338454
0.0412,0.457482233
0.0413,0.456621316
0.0414,0.455756988
0.0415,0.454890531
0.0416,0.45402323
0.0417,0.453156367
0.0418,0.452291221
0.0419,0.451429063
0.042,0.450571157
0.0421,0.449718758
0.0422,0.448873108
0.0423,0.448035436
0.0424,0.447206958
0.0425,0.44638887
0.0426,0.44558235
0.0427,0.444788557
0.0428,0.444008626
0.0429,0.443243669
0.043,0.442494774
0.0431,0.441763
0.0432,0.441049379
0.0433,0.440354912
0.0434,0.439680569
0.0435,0.439027288
0.0436,0.438395973
0.0437,0.437787492
0.0438,0.437202675
0.0439,0.436642318
0.044,0.436107176
0.0441,0.435597963
0.0442,0.435115355
0.0443,0.434659983
0.0444,0.434232438
0.0445,0.433833266
0.0446,0.43346297
0.0447,0.433122007
0.0448,0.432810789
0.0449,0.432529683
0.045,0.432279006
0.0451,0.432059032
0.0452,0.431869987
0.0453,0.431712047
0.0454,0.431585343
0.0455,0.431489957
0.0456,0.431425923
0.0457,0.431393229
0.0458,0.431391811
0.0459,0.431421562
0.046,0.431482325
0.0461,0.431573897
0.0462,0.431696027
0.0463,0.43184842
0.0464,0.432030732
0.0465,0.432242577
0.0466,0.432483523
0.0467,0.432753094
0.0468,0.433050772
0.0469,0.433375996
0.047,0.433728163
0.0471,0.434106633
0.0472,0.434510722
0.0473,0.434939712
0.0474,0.435392846
0.0475,0.435869332
0.0476,0.436368343
0.0477,0.436889018
0.0478,0.437430467
0.0479,0.437991767
0.048,0.438571968
0.0481,0.43917009
0.0482,0.43978513
0.0483,0.44041606
0.0484,0.441061829
0.0485,0.441721364
