"P1_x","P1_y"
1e-06,1.060305104e-11,
0.000101,0.0008055816848,
0.000201,0.008739718193,
0.0003,0.02884076559,
0.0004,0.0584515671,
0.0005,0.08977848615,
0.0006,0.1166372835,
0.0007,0.1369012811,
0.0008,0.1516293064,
0.0009,0.1630770701,
0.001,0.1732951803,
0.0011,0.1836499499,
0.001201,0.1949856511,
0.001301,0.2073243393,
0.001401,0.2206597489,
0.001501,0.2346296699,
0.001601,0.2487505669,
0.001701,0.2625541183,
0.001801,0.2756932684,
0.001901,0.2879898013,
0.002001,0.2994242014,
0.002101,0.3100894516,
0.002201,0.3201347079,
0.002301,0.3297174329,
0.002401,0.3389721544,
0.0025,0.3479067299,
0.0026,0.356759672,
0.0027,0.3654658276,
0.0028,0.3740283927,
0.0029,0.3824372169,
0.003,0.3906763117,
0.0031,0.39872855,
0.0032,0.4065777683,
0.0033,0.4142090218,
0.0034,0.421607885,
0.0035,0.428759558,
0.0036,0.4356482718,
0.0037,0.4422572075,
0.0038,0.4485689246,
0.0039,0.4545661634,
0.004,0.4602328321,
0.0041,0.4655549942,
0.0042,0.4705217135,
0.0043,0.4751256674,
0.0044,0.4793634927,
0.0045,0.4832358725,
0.0046,0.4867473994,
0.0047,0.4899062669,
0.0048,0.4927238435,
0.0049,0.4952141776,
0.005,0.4973934752,
0.0051,0.4992795779,
0.0052,0.5008914628,
0.0053,0.5022487768,
0.0054,0.5033714114,
0.0055,0.5042791236,
0.0056,0.5049912044,
0.0057,0.5055261955,
0.0058,0.5059016562,
0.0059,0.5061339788,
0.006,0.5062382529,
0.0061,0.5062281761,
0.0062,0.5061160076,
0.0063,0.5059125631,
0.0064,0.5056272435,
0.0065,0.5052680947,
0.0066,0.5048418921,
0.0067,0.5043542443,
0.0068,0.5038097112,
0.0069,0.5032119314,
0.007,0.5025637542,
0.0071,0.5018673724,
0.0072,0.5011244528,
0.0073,0.5003362602,
0.0074,0.4995037739,
0.0075,0.4986277944,
0.0076,0.4977090373,
0.0077,0.4967482162,
0.0078,0.4957461112,
0.0079,0.4947036252,
0.008,0.4936218253,
0.0081,0.4925019735,
0.0082,0.4913455434,
0.0083,0.4901542275,
0.0084,0.4889299329,
0.0085,0.4876747697,
0.0086,0.4863910313,
0.0087,0.4850811693,
0.008801,0.4837343193,
0.008901,0.4823798495,
0.009001,0.4810072742,
0.009101,0.4796193554,
0.009201,0.4782188462,
0.009301,0.4768084583,
0.009401,0.4753908319,
0.009501,0.4739685086,
0.009601,0.4725439084,
0.009701,0.4711193104,
0.009801,0.4696968381,
0.009901,0.4682784483,
0.010001,0.4668659255,
0.010101,0.4654608792,
0.010201,0.4640647456,
0.010301,0.4626787924,
0.010401,0.4613041273,
0.010501,0.4599417077,
0.010601,0.458592354,
0.010701,0.4572567633,
0.010801,0.4559355245,
0.010901,0.4546291342,
0.011001,0.4533380122,
0.011101,0.4520625172,
0.011201,0.4508029616,
0.011301,0.4495596253,
0.011401,0.4483327687,
0.011501,0.4471226434,
0.011601,0.4459295028,
0.011701,0.4447536096,
0.011801,0.4435952425,
0.011901,0.4424547015,
0.012001,0.4413323109,
0.012101,0.4402284211,
0.012201,0.4391434096,
0.012301,0.4380776803,
0.012401,0.4370316614,
0.012501,0.4360058032,
0.012601,0.4350005749,
0.012701,0.4340164609,
0.012801,0.4330539563,
0.012901,0.4321135629,
0.013001,0.4311957846,
0.013101,0.4303011235,
0.013201,0.4294300749,
0.013301,0.4285831245,
0.013401,0.4277607439,
0.013501,0.4269633878,
0.013601,0.4261914914,
0.013701,0.4254454679,
0.013801,0.4247257068,
0.013901,0.4240325722,
0.014001,0.4233664021,
0.014101,0.422727508,
0.014201,0.4221161738,
0.014301,0.4215326568,
0.014401,0.4209771876,
0.014501,0.4204499703,
0.014601,0.4199511836,
0.014701,0.4194809815,
0.014801,0.4190394938,
0.014901,0.4186268272,
0.015001,0.4182430659,
0.015101,0.4178882725,
