0.2x,0.2y,0.22x,0.22y,0.24x,0.24y,0.26x,0.26y,0.28x,0.28y,0.3x,0.3y,0.32x,0.32y,0.34x,0.34y,0.36x,0.36y
-2330,6660,-2330,6660,-2330,6660,-2320,6670,-2320,6670,-2320,6670,-2320,6670,-2320,6670,-2320,6670
-2330,-6660,-2330,-6660,-2330,-6660,-2320,-6670,-2320,-6670,-2320,-6670,-2320,-6670,-2320,-6670,-2320,-6670
-2330,6650,-2330,6650,-2330,6650,-2330,6650,-2320,6650,-2320,6650,-2320,6650,-2320,6660,-2320,6660
-2330,-6650,-2330,-6650,-2330,-6650,-2330,-6650,-2320,-6650,-2320,-6650,-2320,-6650,-2320,-6660,-2320,-6660
-2340,6410,-2340,6410,-2330,6410,-2330,6410,-2330,6420,-2330,6420,-2330,6420,-2320,6420,-2320,6420
-2340,-6410,-2340,-6410,-2330,-6410,-2330,-6410,-2330,-6420,-2330,-6420,-2330,-6420,-2320,-6420,-2320,-6420
-2290,5830,-2290,5830,-2290,5830,-2290,5830,-2290,5830,-2300,5830,-2300,5820,-2300,5820,-2300,5820
-2290,-5830,-2290,-5830,-2290,-5830,-2290,-5830,-2290,-5830,-2300,-5830,-2300,-5820,-2300,-5820,-2300,-5820
-2290,6070,-2290,6070,-2290,6070,-2290,6070,-2290,6070,-2290,6060,-2290,6060,-2300,6060,-2300,6060
-2290,-6070,-2290,-6070,-2290,-6070,-2290,-6070,-2290,-6070,-2290,-6060,-2290,-6060,-2300,-6060,-2300,-6060
-2290,6060,-2290,6060,-2290,6050,-2290,6050,-2290,6050,-2290,6050,-2290,6050,-2300,6050,-2300,6040
-2290,-6060,-2290,-6060,-2290,-6050,-2290,-6050,-2290,-6050,-2290,-6050,-2290,-6050,-2300,-6050,-2300,-6040
-2330,5060,-2330,5060,-2330,5060,-2250,4570,-2250,4570,-2250,4570,-2250,4570,-2260,4560,-2260,4560
-2330,-5060,-2330,-5060,-2330,-5060,-2250,-4570,-2250,-4570,-2250,-4570,-2250,-4570,-2260,-4560,-2260,-4560
-2240,4580,-2240,4580,-2240,4580,-2320,5060,-2320,5070,-2320,5070,-2310,5070,-2310,5070,-2310,5080
-2240,-4580,-2240,-4580,-2240,-4580,-2320,-5060,-2320,-5070,-2320,-5070,-2310,-5070,-2310,-5070,-2310,-5080
-570,1630,-569,1640,-569,1640,-568,1640,-568,1640,-567,1640,-566,1640,-566,1640,-565,1640
-570,-1630,-569,-1640,-569,-1640,-568,-1640,-568,-1640,-567,-1640,-566,-1640,-566,-1640,-565,-1640
-548,1700,-549,1700,-549,1700,-549,1710,-549,1710,-550,1710,-550,1710,-550,1710,-550,1710
-548,-1700,-549,-1700,-549,-1700,-549,-1710,-549,-1710,-550,-1710,-550,-1710,-550,-1710,-550,-1710
-546,1710,-546,1710,-546,1710,-547,1710,-547,1710,-547,1710,-547,1710,-548,1720,-548,1720
