EIG100x,EIG100y,EIG1000x,EIG1000y,EIG10000x,EIG10000y
-2.28E+06,3.78E+02,-2.28E+07,3.79E+02,-2.28E+08,3.78E+02
-2.28E+06,-3.78E+02,-2.28E+07,-3.79E+02,-2.28E+08,-3.78E+02
-1.68E+06,3.78E+02,-1.68E+07,3.79E+02,-1.68E+08,3.78E+02
-1.68E+06,-3.78E+02,-1.68E+07,-3.79E+02,-1.68E+08,-3.78E+02
-8.97E+05,3.78E+02,-8.97E+06,3.79E+02,-8.97E+07,3.79E+02
-8.97E+05,-3.78E+02,-8.97E+06,-3.79E+02,-8.97E+07,-3.79E+02
-2.97E+05,3.78E+02,-2.97E+06,3.79E+02,-2.97E+07,3.79E+02
-2.97E+05,-3.78E+02,-2.97E+06,-3.79E+02,-2.97E+07,-3.79E+02
-4.88E+04,3.78E+02,-4.91E+05,3.79E+02,-4.91E+06,3.78E+02
-4.88E+04,-3.78E+02,-4.91E+05,-3.79E+02,-4.91E+06,-3.78E+02
-2.33E+03,6.66E+03,-2.33E+03,6.66E+03,-2.33E+03,6.66E+03
-2.33E+03,-6.66E+03,-2.33E+03,-6.66E+03,-2.33E+03,-6.66E+03
-2.33E+03,6.65E+03,-2.33E+03,6.65E+03,-2.33E+03,6.65E+03
-2.33E+03,-6.65E+03,-2.33E+03,-6.65E+03,-2.33E+03,-6.65E+03
-2.34E+03,6.41E+03,-2.34E+03,6.41E+03,-2.34E+03,6.41E+03
-2.34E+03,-6.41E+03,-2.34E+03,-6.41E+03,-2.34E+03,-6.41E+03
-2.29E+03,5.83E+03,-2.29E+03,5.83E+03,-2.29E+03,5.83E+03
-2.29E+03,-5.83E+03,-2.29E+03,-5.83E+03,-2.29E+03,-5.83E+03
-2.29E+03,6.07E+03,-2.29E+03,6.07E+03,-2.29E+03,6.07E+03
-2.29E+03,-6.07E+03,-2.29E+03,-6.07E+03,-2.29E+03,-6.07E+03
-2.29E+03,6.06E+03,-2.29E+03,6.06E+03,-2.29E+03,6.06E+03
-2.29E+03,-6.06E+03,-2.29E+03,-6.06E+03,-2.29E+03,-6.06E+03
-2.53E+03,4.98E+03,-2.35E+03,5.05E+03,-2.33E+03,5.06E+03
-2.53E+03,-4.98E+03,-2.35E+03,-5.05E+03,-2.33E+03,-5.06E+03
-2.43E+03,4.51E+03,-2.25E+03,4.57E+03,-2.24E+03,4.58E+03
-2.43E+03,-4.51E+03,-2.25E+03,-4.57E+03,-2.24E+03,-4.58E+03
-5.74E+02,1.63E+03,-5.70E+02,1.63E+03,-5.70E+02,1.63E+03
-5.74E+02,-1.63E+03,-5.70E+02,-1.63E+03,-5.70E+02,-1.63E+03
-5.48E+02,1.70E+03,-5.48E+02,1.70E+03,-5.48E+02,1.70E+03
-5.48E+02,-1.70E+03,-5.48E+02,-1.70E+03,-5.48E+02,-1.70E+03
